format,operation,dataset,time,size
webp,encode,kodak,6.503903874981916,11339964
png,encode,kodak,3.0261415890126955,15858336
webp,encode,kodak,6.414923342003021,11339964
png,encode,kodak,3.0564769050033647,15858336
webp,encode,kodak,6.375966514002357,11339964
png,encode,kodak,2.995686147012748,15858336
webp,decode,kodak,0.23972652499651304,11339964
webp,decode,kodak,0.24261528099304996,11339964
webp,decode,kodak,0.2372934939849074,11339964
webp,decode,kodak,0.2402295210340526,11339964
avif,decode,kodak,0.9731214779822039,13673348
jxl,decode,kodak,0.8676721010124311,10270194
png,decode,kodak,0.42748453198873904,15858336
webp,decode,kodak,0.23761858501529787,11339964
webp,decode,kodak,0.2410994820165797,11339964
webp,decode,kodak,0.23760569099977147,11339964
avif,decode,kodak,0.9711391770106275,13673348
jxl,decode,kodak,0.8609936320135603,10270194
png,decode,kodak,0.4455451240064576,15858336
